season,vaccine_strain,metric,dataset,strain_counts,subsample_id,dat
2014 - 2015,CA/09,Temporal,full,14,19,
2014 - 2015,CA/09,Temporal,full,14,20,
2014 - 2015,CA/09,Temporal,full,14,21,
2014 - 2015,CA/09,Temporal,full,14,22,
2014 - 2015,CA/09,Temporal,full,14,23,
2014 - 2015,CA/09,Temporal,full,14,24,
2014 - 2015,CA/09,Temporal,full,14,25,
2014 - 2015,CA/09,Cartographic,full,14,01,
2014 - 2015,CA/09,Cartographic,full,14,02,
2014 - 2015,CA/09,Cartographic,full,14,03,
2014 - 2015,CA/09,Cartographic,full,14,04,
2014 - 2015,CA/09,Cartographic,full,14,05,
2014 - 2015,CA/09,Cartographic,full,14,06,
2014 - 2015,CA/09,Cartographic,full,14,07,
2014 - 2015,CA/09,Cartographic,full,14,08,
2014 - 2015,CA/09,Cartographic,full,14,09,
2014 - 2015,CA/09,Cartographic,full,14,10,
2014 - 2015,CA/09,Cartographic,full,14,11,
2014 - 2015,CA/09,Cartographic,full,14,12,
2014 - 2015,CA/09,Cartographic,full,14,13,
2014 - 2015,CA/09,Cartographic,full,14,14,
2014 - 2015,CA/09,Cartographic,full,14,15,
2014 - 2015,CA/09,Cartographic,full,14,16,
2014 - 2015,CA/09,Cartographic,full,14,17,
2014 - 2015,CA/09,Cartographic,full,14,18,
2014 - 2015,CA/09,Cartographic,full,14,19,
2014 - 2015,CA/09,Cartographic,full,14,20,
2014 - 2015,CA/09,Cartographic,full,14,21,
2014 - 2015,CA/09,Cartographic,full,14,22,
2014 - 2015,CA/09,Cartographic,full,14,23,
2014 - 2015,CA/09,Cartographic,full,14,24,
2014 - 2015,CA/09,Cartographic,full,14,25,
2014 - 2015,CA/09,p-Epitope,full,14,01,
2014 - 2015,CA/09,p-Epitope,full,14,02,
2014 - 2015,CA/09,p-Epitope,full,14,03,
2014 - 2015,CA/09,p-Epitope,full,14,04,
2014 - 2015,CA/09,p-Epitope,full,14,05,
2014 - 2015,CA/09,p-Epitope,full,14,06,
2014 - 2015,CA/09,p-Epitope,full,14,07,
2014 - 2015,CA/09,p-Epitope,full,14,08,
2014 - 2015,CA/09,p-Epitope,full,14,09,
2014 - 2015,CA/09,p-Epitope,full,14,10,
2014 - 2015,CA/09,p-Epitope,full,14,11,
2014 - 2015,CA/09,p-Epitope,full,14,12,
2014 - 2015,CA/09,p-Epitope,full,14,13,
2014 - 2015,CA/09,p-Epitope,full,14,14,
2014 - 2015,CA/09,p-Epitope,full,14,15,
2014 - 2015,CA/09,p-Epitope,full,14,16,
2014 - 2015,CA/09,p-Epitope,full,14,17,
2014 - 2015,CA/09,p-Epitope,full,14,18,
2014 - 2015,CA/09,p-Epitope,full,14,19,
2014 - 2015,CA/09,p-Epitope,full,14,20,
2014 - 2015,CA/09,p-Epitope,full,14,21,
2014 - 2015,CA/09,p-Epitope,full,14,22,
2014 - 2015,CA/09,p-Epitope,full,14,23,
2014 - 2015,CA/09,p-Epitope,full,14,24,
2014 - 2015,CA/09,p-Epitope,full,14,25,
2015 - 2016,CA/09,Temporal,full,14,01,
2015 - 2016,CA/09,Temporal,full,14,02,
2015 - 2016,CA/09,Temporal,full,14,03,
2015 - 2016,CA/09,Temporal,full,14,04,
2015 - 2016,CA/09,Temporal,full,14,05,
2015 - 2016,CA/09,Temporal,full,14,06,
2015 - 2016,CA/09,Temporal,full,14,07,
2015 - 2016,CA/09,Temporal,full,14,08,
2015 - 2016,CA/09,Temporal,full,14,09,
2015 - 2016,CA/09,Temporal,full,14,10,
2015 - 2016,CA/09,Temporal,full,14,11,
2015 - 2016,CA/09,Temporal,full,14,12,
2015 - 2016,CA/09,Temporal,full,14,13,
2015 - 2016,CA/09,Temporal,full,14,14,
2015 - 2016,CA/09,Temporal,full,14,15,
2015 - 2016,CA/09,Temporal,full,14,16,
2015 - 2016,CA/09,Temporal,full,14,17,
2015 - 2016,CA/09,Temporal,full,14,18,
2015 - 2016,CA/09,Temporal,full,14,19,
2015 - 2016,CA/09,Temporal,full,14,20,
2015 - 2016,CA/09,Temporal,full,14,21,
2015 - 2016,CA/09,Temporal,full,14,22,
2015 - 2016,CA/09,Temporal,full,14,23,
2015 - 2016,CA/09,Temporal,full,14,24,
2015 - 2016,CA/09,Temporal,full,14,25,
2015 - 2016,CA/09,Cartographic,full,14,01,
2015 - 2016,CA/09,Cartographic,full,14,02,
2015 - 2016,CA/09,Cartographic,full,14,03,
2015 - 2016,CA/09,Cartographic,full,14,04,
2015 - 2016,CA/09,Cartographic,full,14,05,
2015 - 2016,CA/09,Cartographic,full,14,06,
2015 - 2016,CA/09,Cartographic,full,14,07,
2015 - 2016,CA/09,Cartographic,full,14,08,
2015 - 2016,CA/09,Cartographic,full,14,09,
2015 - 2016,CA/09,Cartographic,full,14,10,
2015 - 2016,CA/09,Cartographic,full,14,11,
2015 - 2016,CA/09,Cartographic,full,14,12,
2015 - 2016,CA/09,Cartographic,full,14,13,
2015 - 2016,CA/09,Cartographic,full,14,14,
2015 - 2016,CA/09,Cartographic,full,14,15,
2015 - 2016,CA/09,Cartographic,full,14,16,
2015 - 2016,CA/09,Cartographic,full,14,17,
2015 - 2016,CA/09,Cartographic,full,14,18,
2015 - 2016,CA/09,Cartographic,full,14,19,
2015 - 2016,CA/09,Cartographic,full,14,20,
2015 - 2016,CA/09,Cartographic,full,14,21,
2015 - 2016,CA/09,Cartographic,full,14,22,
2015 - 2016,CA/09,Cartographic,full,14,23,
2015 - 2016,CA/09,Cartographic,full,14,24,
2015 - 2016,CA/09,Cartographic,full,14,25,
2015 - 2016,CA/09,p-Epitope,full,14,01,
2015 - 2016,CA/09,p-Epitope,full,14,02,
2015 - 2016,CA/09,p-Epitope,full,14,03,
2015 - 2016,CA/09,p-Epitope,full,14,04,
2015 - 2016,CA/09,p-Epitope,full,14,05,
2015 - 2016,CA/09,p-Epitope,full,14,06,
2015 - 2016,CA/09,p-Epitope,full,14,07,
2015 - 2016,CA/09,p-Epitope,full,14,08,
2015 - 2016,CA/09,p-Epitope,full,14,09,
2015 - 2016,CA/09,p-Epitope,full,14,10,
2015 - 2016,CA/09,p-Epitope,full,14,11,
2015 - 2016,CA/09,p-Epitope,full,14,12,
2015 - 2016,CA/09,p-Epitope,full,14,13,
2015 - 2016,CA/09,p-Epitope,full,14,14,
2015 - 2016,CA/09,p-Epitope,full,14,15,
2015 - 2016,CA/09,p-Epitope,full,14,16,
2015 - 2016,CA/09,p-Epitope,full,14,17,
2015 - 2016,CA/09,p-Epitope,full,14,18,
2015 - 2016,CA/09,p-Epitope,full,14,19,
2015 - 2016,CA/09,p-Epitope,full,14,20,
2015 - 2016,CA/09,p-Epitope,full,14,21,
2015 - 2016,CA/09,p-Epitope,full,14,22,
2015 - 2016,CA/09,p-Epitope,full,14,23,
2015 - 2016,CA/09,p-Epitope,full,14,24,
2015 - 2016,CA/09,p-Epitope,full,14,25,
2016 - 2017,CA/09,Temporal,full,15,01,
2016 - 2017,CA/09,Temporal,full,15,02,
2016 - 2017,CA/09,Temporal,full,15,03,
2016 - 2017,CA/09,Temporal,full,15,04,
2016 - 2017,CA/09,Temporal,full,15,05,
2016 - 2017,CA/09,Temporal,full,15,06,
2016 - 2017,CA/09,Temporal,full,15,07,
2016 - 2017,CA/09,Temporal,full,15,08,
2016 - 2017,CA/09,Temporal,full,15,09,
2016 - 2017,CA/09,Temporal,full,15,10,
2016 - 2017,CA/09,Temporal,full,15,11,
2016 - 2017,CA/09,Temporal,full,15,12,
2016 - 2017,CA/09,Temporal,full,15,13,
2016 - 2017,CA/09,Temporal,full,15,14,
2016 - 2017,CA/09,Temporal,full,15,15,
2016 - 2017,CA/09,Temporal,full,15,16,
2016 - 2017,CA/09,Temporal,full,15,17,
2016 - 2017,CA/09,Temporal,full,15,18,
2016 - 2017,CA/09,Temporal,full,15,19,
2016 - 2017,CA/09,Temporal,full,15,20,
2016 - 2017,CA/09,Temporal,full,15,21,
2016 - 2017,CA/09,Temporal,full,15,22,
2016 - 2017,CA/09,Temporal,full,15,23,
2016 - 2017,CA/09,Temporal,full,15,24,
2016 - 2017,CA/09,Temporal,full,15,25,
2016 - 2017,CA/09,Cartographic,full,15,01,
2016 - 2017,CA/09,Cartographic,full,15,02,
2016 - 2017,CA/09,Cartographic,full,15,03,
2016 - 2017,CA/09,Cartographic,full,15,04,
2016 - 2017,CA/09,Cartographic,full,15,05,
2016 - 2017,CA/09,Cartographic,full,15,06,
2016 - 2017,CA/09,Cartographic,full,15,07,
2016 - 2017,CA/09,Cartographic,full,15,08,
2016 - 2017,CA/09,Cartographic,full,15,09,
2016 - 2017,CA/09,Cartographic,full,15,10,
2016 - 2017,CA/09,Cartographic,full,15,11,
2016 - 2017,CA/09,Cartographic,full,15,12,
2016 - 2017,CA/09,Cartographic,full,15,13,
2016 - 2017,CA/09,Cartographic,full,15,14,
2016 - 2017,CA/09,Cartographic,full,15,15,
2016 - 2017,CA/09,Cartographic,full,15,16,
2016 - 2017,CA/09,Cartographic,full,15,17,
2016 - 2017,CA/09,Cartographic,full,15,18,
2016 - 2017,CA/09,Cartographic,full,15,19,
2016 - 2017,CA/09,Cartographic,full,15,20,
2016 - 2017,CA/09,Cartographic,full,15,21,
2016 - 2017,CA/09,Cartographic,full,15,22,
2016 - 2017,CA/09,Cartographic,full,15,23,
2016 - 2017,CA/09,Cartographic,full,15,24,
2016 - 2017,CA/09,Cartographic,full,15,25,
2016 - 2017,CA/09,p-Epitope,full,15,01,
2016 - 2017,CA/09,p-Epitope,full,15,02,
2016 - 2017,CA/09,p-Epitope,full,15,03,
2016 - 2017,CA/09,p-Epitope,full,15,04,
2016 - 2017,CA/09,p-Epitope,full,15,05,
2016 - 2017,CA/09,p-Epitope,full,15,06,
2016 - 2017,CA/09,p-Epitope,full,15,07,
2016 - 2017,CA/09,p-Epitope,full,15,08,
2016 - 2017,CA/09,p-Epitope,full,15,09,
2016 - 2017,CA/09,p-Epitope,full,15,10,
2016 - 2017,CA/09,p-Epitope,full,15,11,
2016 - 2017,CA/09,p-Epitope,full,15,12,
2016 - 2017,CA/09,p-Epitope,full,15,13,
2016 - 2017,CA/09,p-Epitope,full,15,14,
2016 - 2017,CA/09,p-Epitope,full,15,15,
2016 - 2017,CA/09,p-Epitope,full,15,16,
2016 - 2017,CA/09,p-Epitope,full,15,17,
2016 - 2017,CA/09,p-Epitope,full,15,18,
2016 - 2017,CA/09,p-Epitope,full,15,19,
2016 - 2017,CA/09,p-Epitope,full,15,20,
2016 - 2017,CA/09,p-Epitope,full,15,21,
2016 - 2017,CA/09,p-Epitope,full,15,22,
2016 - 2017,CA/09,p-Epitope,full,15,23,
2016 - 2017,CA/09,p-Epitope,full,15,24,
2016 - 2017,CA/09,p-Epitope,full,15,25,
2017 - 2018,MI/15,Temporal,full,15,01,
2017 - 2018,MI/15,Temporal,full,15,02,
2017 - 2018,MI/15,Temporal,full,15,03,
2017 - 2018,MI/15,Temporal,full,15,04,
2017 - 2018,MI/15,Temporal,full,15,05,
2017 - 2018,MI/15,Temporal,full,15,06,
2017 - 2018,MI/15,Temporal,full,15,07,
2017 - 2018,MI/15,Temporal,full,15,08,
2017 - 2018,MI/15,Temporal,full,15,09,
2017 - 2018,MI/15,Temporal,full,15,10,
2017 - 2018,MI/15,Temporal,full,15,11,
2017 - 2018,MI/15,Temporal,full,15,12,
2017 - 2018,MI/15,Temporal,full,15,13,
2017 - 2018,MI/15,Temporal,full,15,14,
2017 - 2018,MI/15,Temporal,full,15,15,
2017 - 2018,MI/15,Temporal,full,15,16,
2017 - 2018,MI/15,Temporal,full,15,17,
2017 - 2018,MI/15,Temporal,full,15,18,
2017 - 2018,MI/15,Temporal,full,15,19,
2017 - 2018,MI/15,Temporal,full,15,20,
2017 - 2018,MI/15,Temporal,full,15,21,
2017 - 2018,MI/15,Temporal,full,15,22,
2017 - 2018,MI/15,Temporal,full,15,23,
2017 - 2018,MI/15,Temporal,full,15,24,
2017 - 2018,MI/15,Temporal,full,15,25,
2017 - 2018,MI/15,Cartographic,full,15,01,
2017 - 2018,MI/15,Cartographic,full,15,02,
2017 - 2018,MI/15,Cartographic,full,15,03,
2017 - 2018,MI/15,Cartographic,full,15,04,
2017 - 2018,MI/15,Cartographic,full,15,05,
2017 - 2018,MI/15,Cartographic,full,15,06,
2017 - 2018,MI/15,Cartographic,full,15,07,
2017 - 2018,MI/15,Cartographic,full,15,08,
2017 - 2018,MI/15,Cartographic,full,15,09,
2017 - 2018,MI/15,Cartographic,full,15,10,
2017 - 2018,MI/15,Cartographic,full,15,11,
2017 - 2018,MI/15,Cartographic,full,15,12,
2017 - 2018,MI/15,Cartographic,full,15,13,
2017 - 2018,MI/15,Cartographic,full,15,14,
2017 - 2018,MI/15,Cartographic,full,15,15,
2017 - 2018,MI/15,Cartographic,full,15,16,
2017 - 2018,MI/15,Cartographic,full,15,17,
2017 - 2018,MI/15,Cartographic,full,15,18,
2017 - 2018,MI/15,Cartographic,full,15,19,
2017 - 2018,MI/15,Cartographic,full,15,20,
2017 - 2018,MI/15,Cartographic,full,15,21,
2017 - 2018,MI/15,Cartographic,full,15,22,
2017 - 2018,MI/15,Cartographic,full,15,23,
2017 - 2018,MI/15,Cartographic,full,15,24,
2017 - 2018,MI/15,Cartographic,full,15,25,
2017 - 2018,MI/15,p-Epitope,full,15,01,
2017 - 2018,MI/15,p-Epitope,full,15,02,
2017 - 2018,MI/15,p-Epitope,full,15,03,
2017 - 2018,MI/15,p-Epitope,full,15,04,
2017 - 2018,MI/15,p-Epitope,full,15,05,
2017 - 2018,MI/15,p-Epitope,full,15,06,
2017 - 2018,MI/15,p-Epitope,full,15,07,
2017 - 2018,MI/15,p-Epitope,full,15,08,
2017 - 2018,MI/15,p-Epitope,full,15,09,
2017 - 2018,MI/15,p-Epitope,full,15,10,
2017 - 2018,MI/15,p-Epitope,full,15,11,
2017 - 2018,MI/15,p-Epitope,full,15,12,
2017 - 2018,MI/15,p-Epitope,full,15,13,
2017 - 2018,MI/15,p-Epitope,full,15,14,
2017 - 2018,MI/15,p-Epitope,full,15,15,
2017 - 2018,MI/15,p-Epitope,full,15,16,
2017 - 2018,MI/15,p-Epitope,full,15,17,
2017 - 2018,MI/15,p-Epitope,full,15,18,
2017 - 2018,MI/15,p-Epitope,full,15,19,
2017 - 2018,MI/15,p-Epitope,full,15,20,
2017 - 2018,MI/15,p-Epitope,full,15,21,
2017 - 2018,MI/15,p-Epitope,full,15,22,
2017 - 2018,MI/15,p-Epitope,full,15,23,
2017 - 2018,MI/15,p-Epitope,full,15,24,
2017 - 2018,MI/15,p-Epitope,full,15,25,
2013 - 2014,CA/09,Temporal,homologous,15,01,
2013 - 2014,CA/09,Temporal,homologous,15,02,
2013 - 2014,CA/09,Temporal,homologous,15,03,
2013 - 2014,CA/09,Temporal,homologous,15,04,
2013 - 2014,CA/09,Temporal,homologous,15,05,
2013 - 2014,CA/09,Temporal,homologous,15,06,
2013 - 2014,CA/09,Temporal,homologous,15,07,
2013 - 2014,CA/09,Temporal,homologous,15,08,
2013 - 2014,CA/09,Temporal,homologous,15,09,
2013 - 2014,CA/09,Temporal,homologous,15,10,
2013 - 2014,CA/09,Temporal,homologous,15,11,
2013 - 2014,CA/09,Temporal,homologous,15,12,
2013 - 2014,CA/09,Temporal,homologous,15,13,
2013 - 2014,CA/09,Temporal,homologous,15,14,
2013 - 2014,CA/09,Temporal,homologous,15,15,
2013 - 2014,CA/09,Temporal,homologous,15,16,
2013 - 2014,CA/09,Temporal,homologous,15,17,
2013 - 2014,CA/09,Temporal,homologous,15,18,
2013 - 2014,CA/09,Temporal,homologous,15,19,
2013 - 2014,CA/09,Temporal,homologous,15,20,
2013 - 2014,CA/09,Temporal,homologous,15,21,
2013 - 2014,CA/09,Temporal,homologous,15,22,
2013 - 2014,CA/09,Temporal,homologous,15,23,
2013 - 2014,CA/09,Temporal,homologous,15,24,
2013 - 2014,CA/09,Temporal,homologous,15,25,
2013 - 2014,CA/09,Cartographic,homologous,15,01,
2013 - 2014,CA/09,Cartographic,homologous,15,02,
2013 - 2014,CA/09,Cartographic,homologous,15,03,
2013 - 2014,CA/09,Cartographic,homologous,15,04,
2013 - 2014,CA/09,Cartographic,homologous,15,05,
2013 - 2014,CA/09,Cartographic,homologous,15,06,
2013 - 2014,CA/09,Cartographic,homologous,15,07,
2013 - 2014,CA/09,Cartographic,homologous,15,08,
2013 - 2014,CA/09,Cartographic,homologous,15,09,
2013 - 2014,CA/09,Cartographic,homologous,15,10,
2013 - 2014,CA/09,Cartographic,homologous,15,11,
2013 - 2014,CA/09,Cartographic,homologous,15,12,
2013 - 2014,CA/09,Cartographic,homologous,15,13,
2013 - 2014,CA/09,Cartographic,homologous,15,14,
2013 - 2014,CA/09,Cartographic,homologous,15,15,
2013 - 2014,CA/09,Cartographic,homologous,15,16,
2013 - 2014,CA/09,Cartographic,homologous,15,17,
2013 - 2014,CA/09,Cartographic,homologous,15,18,
2013 - 2014,CA/09,Cartographic,homologous,15,19,
2013 - 2014,CA/09,Cartographic,homologous,15,20,
2013 - 2014,CA/09,Cartographic,homologous,15,21,
2013 - 2014,CA/09,Cartographic,homologous,15,22,
2013 - 2014,CA/09,Cartographic,homologous,15,23,
2013 - 2014,CA/09,Cartographic,homologous,15,24,
2013 - 2014,CA/09,Cartographic,homologous,15,25,
2013 - 2014,CA/09,p-Epitope,homologous,15,01,
2013 - 2014,CA/09,p-Epitope,homologous,15,02,
2013 - 2014,CA/09,p-Epitope,homologous,15,03,
2013 - 2014,CA/09,p-Epitope,homologous,15,04,
2013 - 2014,CA/09,p-Epitope,homologous,15,05,
2013 - 2014,CA/09,p-Epitope,homologous,15,06,
2013 - 2014,CA/09,p-Epitope,homologous,15,07,
2013 - 2014,CA/09,p-Epitope,homologous,15,08,
2013 - 2014,CA/09,p-Epitope,homologous,15,09,
2013 - 2014,CA/09,p-Epitope,homologous,15,10,
2013 - 2014,CA/09,p-Epitope,homologous,15,11,
2013 - 2014,CA/09,p-Epitope,homologous,15,12,
2013 - 2014,CA/09,p-Epitope,homologous,15,13,
2013 - 2014,CA/09,p-Epitope,homologous,15,14,
2013 - 2014,CA/09,p-Epitope,homologous,15,15,
2013 - 2014,CA/09,p-Epitope,homologous,15,16,
2013 - 2014,CA/09,p-Epitope,homologous,15,17,
2013 - 2014,CA/09,p-Epitope,homologous,15,18,
2013 - 2014,CA/09,p-Epitope,homologous,15,19,
2013 - 2014,CA/09,p-Epitope,homologous,15,20,
2013 - 2014,CA/09,p-Epitope,homologous,15,21,
2013 - 2014,CA/09,p-Epitope,homologous,15,22,
2013 - 2014,CA/09,p-Epitope,homologous,15,23,
2013 - 2014,CA/09,p-Epitope,homologous,15,24,
2013 - 2014,CA/09,p-Epitope,homologous,15,25,
2014 - 2015,CA/09,Temporal,homologous,14,01,
2014 - 2015,CA/09,Temporal,homologous,14,02,
2014 - 2015,CA/09,Temporal,homologous,14,03,
2014 - 2015,CA/09,Temporal,homologous,14,04,
2014 - 2015,CA/09,Temporal,homologous,14,05,
2014 - 2015,CA/09,Temporal,homologous,14,06,
2014 - 2015,CA/09,Temporal,homologous,14,07,
2014 - 2015,CA/09,Temporal,homologous,14,08,
2014 - 2015,CA/09,Temporal,homologous,14,09,
2014 - 2015,CA/09,Temporal,homologous,14,10,
2014 - 2015,CA/09,Temporal,homologous,14,11,
2014 - 2015,CA/09,Temporal,homologous,14,12,
2014 - 2015,CA/09,Temporal,homologous,14,13,
2014 - 2015,CA/09,Temporal,homologous,14,14,
2014 - 2015,CA/09,Temporal,homologous,14,15,
2014 - 2015,CA/09,Temporal,homologous,14,16,
2014 - 2015,CA/09,Temporal,homologous,14,17,
2014 - 2015,CA/09,Temporal,homologous,14,18,
2014 - 2015,CA/09,Temporal,homologous,14,19,
2014 - 2015,CA/09,Temporal,homologous,14,20,
2014 - 2015,CA/09,Temporal,homologous,14,21,
2014 - 2015,CA/09,Temporal,homologous,14,22,
2014 - 2015,CA/09,Temporal,homologous,14,23,
2014 - 2015,CA/09,Temporal,homologous,14,24,
2014 - 2015,CA/09,Temporal,homologous,14,25,
2014 - 2015,CA/09,Cartographic,homologous,14,01,
2014 - 2015,CA/09,Cartographic,homologous,14,02,
2014 - 2015,CA/09,Cartographic,homologous,14,03,
2014 - 2015,CA/09,Cartographic,homologous,14,04,
2014 - 2015,CA/09,Cartographic,homologous,14,05,
2014 - 2015,CA/09,Cartographic,homologous,14,06,
2014 - 2015,CA/09,Cartographic,homologous,14,07,
2014 - 2015,CA/09,Cartographic,homologous,14,08,
2014 - 2015,CA/09,Cartographic,homologous,14,09,
2014 - 2015,CA/09,Cartographic,homologous,14,10,
2014 - 2015,CA/09,Cartographic,homologous,14,11,
2014 - 2015,CA/09,Cartographic,homologous,14,12,
2014 - 2015,CA/09,Cartographic,homologous,14,13,
2014 - 2015,CA/09,Cartographic,homologous,14,14,
2014 - 2015,CA/09,Cartographic,homologous,14,15,
2014 - 2015,CA/09,Cartographic,homologous,14,16,
2014 - 2015,CA/09,Cartographic,homologous,14,17,
2014 - 2015,CA/09,Cartographic,homologous,14,18,
2014 - 2015,CA/09,Cartographic,homologous,14,19,
2014 - 2015,CA/09,Cartographic,homologous,14,20,
2014 - 2015,CA/09,Cartographic,homologous,14,21,
2014 - 2015,CA/09,Cartographic,homologous,14,22,
2014 - 2015,CA/09,Cartographic,homologous,14,23,
2014 - 2015,CA/09,Cartographic,homologous,14,24,
2014 - 2015,CA/09,Cartographic,homologous,14,25,
2014 - 2015,CA/09,p-Epitope,homologous,14,01,
2014 - 2015,CA/09,p-Epitope,homologous,14,02,
2014 - 2015,CA/09,p-Epitope,homologous,14,03,
2014 - 2015,CA/09,p-Epitope,homologous,14,04,
2014 - 2015,CA/09,p-Epitope,homologous,14,05,
2014 - 2015,CA/09,p-Epitope,homologous,14,06,
2014 - 2015,CA/09,p-Epitope,homologous,14,07,
2014 - 2015,CA/09,p-Epitope,homologous,14,08,
2014 - 2015,CA/09,p-Epitope,homologous,14,09,
2014 - 2015,CA/09,p-Epitope,homologous,14,10,
2014 - 2015,CA/09,p-Epitope,homologous,14,11,
2014 - 2015,CA/09,p-Epitope,homologous,14,12,
2014 - 2015,CA/09,p-Epitope,homologous,14,13,
2014 - 2015,CA/09,p-Epitope,homologous,14,14,
2014 - 2015,CA/09,p-Epitope,homologous,14,15,
2014 - 2015,CA/09,p-Epitope,homologous,14,16,
2014 - 2015,CA/09,p-Epitope,homologous,14,17,
2014 - 2015,CA/09,p-Epitope,homologous,14,18,
2014 - 2015,CA/09,p-Epitope,homologous,14,19,
2014 - 2015,CA/09,p-Epitope,homologous,14,20,
2014 - 2015,CA/09,p-Epitope,homologous,14,21,
2014 - 2015,CA/09,p-Epitope,homologous,14,22,
2014 - 2015,CA/09,p-Epitope,homologous,14,23,
2014 - 2015,CA/09,p-Epitope,homologous,14,24,
